y       x1     x2     x3     x4      x5      x6 
0.1367 -0.3003 0.1266 0.4297 -0.2089 -0.4511 0.389
0.1583 -1.5469 0.2998 0.6007 1.8138 -0.3021 -0.8646
0.1799 -1.066 -0.5221 -0.3391 0.9789 0.5372 0.4039
0.1908 -1.1519 -1.2942 2.6126 1.1264 -1.8294 0.5348
0.2016 1.422 0.81 -5.4851 1.1374 0.1673 1.9767
0.2232 -0.4322 1.2237 -5.3526 0.0429 2.0101 2.4724
0.2448 -0.2962 -0.3601 -1.7506 0.3368 2.2952 -0.2244
0.2573 -1.8795 0.7761 -1.8691 1.0871 1.4822 0.4383
0.3113 -0.2031 0.1906 -3.0226 1.4288 -0.2267 1.9033
0.2706 0.0231 -0.2096 -2.226 0.5589 1.1193 0.8174
0.2834 -0.5309 0.1759 -3.9758 -0.0027 2.2398 2.1832
0.3237 -0.0738 -1.4123 1.2422 -1.0253 0.2968 1.086
0.3778 -0.8165 -0.0089 -1.6196 1.6585 0.9812 -0.0526
0.3461 -0.3686 1.3982 0.4259 -0.3567 -0.3669 -0.6061
0.3821 -1.2616 0.7118 1.9675 -0.6295 -0.3152 -0.3678
0.2963 -1.2958 -0.778 -0.001 0.7494 1.7768 -0.3019
0.3684 1.159 -1.3373 -2.0552 0.3228 1.4488 0.6528
0.3774 2.2874 -0.0418 -4.4238 1.8772 0.3642 0.1728
0.3864 0.0823 0.9112 -2.9274 1.3545 0.4265 0.3268
0.3495 -0.5366 -0.5834 3.679 -0.8908 -0.3779 -1.0947
0.3711 3.5406 -0.7321 -2.163 0.2915 -1.3566 0.7095
0.3927 -2.1386 -1.5833 4.7926 0.3098 -0.9351 -0.2621
0.4035 -0.3636 -0.7044 1.0481 0.54 -0.7704 0.4641
0.4143 -1.3898 1.9916 0.5271 -0.4074 0.073 -0.6283
0.436 -0.6797 -0.1039 2.5633 -1.4763 1.4661 -1.587
0.4576 -0.526 0.0907 2.012 -1.2061 -0.7283 0.5328
0.4567 1.3742 0.2712 -3.6105 0.3804 2.2532 -0.3696
0.4293 -0.2238 -0.0482 -1.2514 0.3367 0.676 0.7965
0.5374 -0.8881 0.0164 5.3618 -1.8611 -1.6385 -0.7448
0.5099 -0.4341 0.408 -0.2736 -0.7551 0.6499 0.6922
0.5091 0.8822 -1.1128 0.8992 0.2877 -0.4213 -0.1335
0.6172 1.6704 -2.4126 -0.1311 0.065 0.1964 1.0262
0.5623 -0.6404 -0.8168 2.151 0.3582 -0.6956 0.0644
0.5998 -1.1491 -1.6626 2.1206 1.1492 0.0722 -0.0846
0.6374 1.1116 -1.2556 1.1046 1.0144 -2.0002 0.5256
0.6382 0.4442 -0.6796 0.2877 -2.032 1.2116 1.2017
0.675 0.9523 -1.2521 1.132 0.4826 -0.4636 -0.3417
0.7126 -1.3146 -0.5806 2.0773 1.1694 -1.2417 0.371
0.6781 1.3143 -0.4469 1.621 -1.2187 0.5181 -1.2667
0.7502 -1.0034 1.0073 -0.4686 1.0097 1.2603 -1.3044
0.7445 0.2285 -0.8432 1.0191 0.4269 -0.7763 0.478
0.7388 0.814 0.5127 0.6695 -0.0739 -1.1103 -0.2627
0.718 0.5486 0.2995 -0.4254 -0.423 0.9181 -0.3706
0.7332 -1.1593 -0.2761 5.3186 0.3245 -2.398 -1.2667
0.7275 1.3233 -0.0803 -1.5108 -1.3917 0.3789 1.8389
0.7219 -1.7374 -1.1979 3.518 -1.4878 0.7568 0.6719
0.775 -0.9005 1.0353 1.1121 1.1706 0.1457 -1.92
0.7967 -0.8292 -0.6838 4.6854 -2.1845 -0.2519 -0.1492
0.8183 -0.7633 0.0607 1.5543 0.7623 -1.0272 0.0454
0.8399 0.0952 0.2773 1.5194 -0.3805 -0.7835 -0.0976
0.8615 0.54 -0.5811 -0.1444 -0.0499 1.342 -0.4543
0.8832 -0.9158 -0.6372 1.7138 0.0484 -0.0908 0.4996
0.8548 0.4095 -0.1706 -0.0203 0.6442 0.1749 -0.2997
0.9346 0.565 -2.0414 1.9952 0.6219 -0.3168 0.0065
1.2006 -0.3872 0.1882 1.4888 1.6402 -1.1975 -0.6485
1.2222 0.4833 0.3502 -0.3539 1.0416 -0.655 0.2185
1.2439 0.3892 -0.6679 2.9982 -0.276 -1.7683 0.391
1.2655 -0.9466 -0.5109 5.787 -1.7873 -0.36 -1.1604
1.2871 0.6868 -0.5951 1.8088 0.4423 -1.0079 -0.2466
1.3087 -1.274 -0.7956 1.249 1.6459 -1.1103 1.3431
1.2671 -1.8014 -1.0511 0.9913 1.1602 0.2028 1.6029
1.3752 -0.92 0.1854 1.8541 -0.8679 -0.7166 1.5464
1.3336 0.5947 -1.2702 3.4968 -0.3735 -0.5297 -0.7054
1.4417 -0.1833 0.3258 1.357 -0.1136 1.0275 -1.2198
1.3559 -0.5155 -1.5569 4.3812 -0.4279 0.0325 -0.71
1.446 -0.614 -0.4931 0.2144 0.9716 0.1983 0.9298
1.3782 0.1147 1.2187 0.5494 0.4143 -0.6652 -0.4074
1.3782 -0.4563 -2.7304 3.599 1.7315 -0.7376 -0.1478
1.4022 0.0329 0.4893 2.5823 -1.0646 -0.4103 -0.427
1.4263 -0.2522 1.2181 -0.8946 -0.3074 0.5235 0.9078
1.4503 -0.699 0.1695 0.9918 1.5267 -0.5329 -0.2243
1.4314 0.3155 -0.1341 2.1934 -0.0752 -0.2237 -0.7911
1.4554 -0.0359 -0.8482 2.7877 -0.2108 -0.3381 -0.0799
1.4795 0.795 1.1223 -3.3837 -0.24 2.2982 0.6812
1.5035 0.5037 1.1426 -2.652 -0.0352 1.9037 0.4095
1.5035 -1.0363 1.4908 -0.9776 1.9073 -0.7911 0.6767
1.4357 0.0501 -0.062 2.4871 0.325 -0.5933 -0.9072
1.5258 -0.2268 -0.3809 4.0841 0.1453 -0.2094 -2.1112
1.44 -0.6223 1.0386 2.839 -1.356 0.2 -0.8366
1.5481 -1.0013 -0.0116 3.8718 0.2143 -1.0288 -0.7566
1.4932 0.3661 0.8691 -0.2526 1.4948 0.4918 -1.5783
1.6013 0.4072 -0.9212 2.9843 -1.1581 -0.362 0.3947
1.5464 -0.1336 1.9583 -2.078 1.811 -0.5969 0.4575
1.6545 -1.334 0.4965 2.6067 -0.3035 -0.556 0.457
1.5687 0.0561 0.0391 0.9619 -0.5617 0.6753 0.238
1.6588 -0.188 -1.0669 2.726 1.5645 -1.8485 0.2603
1.591 2.173 0.8904 -3.0222 0.3135 0.0993 1.0165
1.591 -1.4531 -0.8842 3.3388 0.3006 0.5377 -0.4242
1.615 -0.9738 -1.3671 1.4032 1.2928 0.9209 0.1653
1.639 -2.4288 0.9616 0.9107 -0.8922 2.3037 0.5012
1.6631 -0.527 -0.2323 0.9764 0.3704 0.207 0.6303
1.6442 -1.243 0.0908 2.5831 -0.0498 0.4789 -0.3993
1.6682 0.0791 -0.6491 3.0308 -1.1744 0.214 -0.0288
1.6922 -1.3795 1.4264 0.3139 -0.2304 1.4525 -0.1387
1.7163 0.7445 -0.689 1.5998 0.3911 -0.914 0.3775
1.7163 -1.6314 -2.0704 2.1918 0.0193 0.9577 1.984
1.6485 -0.6333 0.4845 2.1973 -1.0217 0.8099 -0.3692
