ExpLife,GDP
28.801,779.4453145
30.332,820.8530296
31.997,853.10071
34.02,836.1971382
36.088,739.9811058
38.438,786.11336
39.854,978.0114388
40.822,852.3959448
41.674,649.3413952
41.763,635.341351
42.129,726.7340548
43.828,974.5803384
55.23,1601.056136
59.28,1942.284244
64.82,2312.888958
66.22,2760.196931
67.69,3313.422188
68.93,3533.00391
70.42,3630.880722
72,3738.932735
71.581,2497.437901
72.95,3193.054604
75.651,4604.211737
76.423,5937.029526
43.077,2449.008185
45.685,3013.976023
48.303,2550.81688
51.407,3246.991771
54.518,4182.663766
58.014,4910.416756
61.368,5745.160213
65.799,5681.358539
67.744,5023.216647
69.152,4797.295051
70.994,5288.040382
72.301,6223.367465
30.015,3520.610273
31.999,3827.940465
34,4269.276742
35.985,5522.776375
37.928,5473.288005
39.483,3008.647355
39.942,2756.953672
39.906,2430.208311
40.647,2627.845685
40.963,2277.140884
41.003,2773.287312
42.731,4797.231267
62.485,5911.315053
64.399,6856.856212
65.142,7133.166023
65.634,8052.953021
67.065,9443.038526
68.481,10079.02674
69.942,8997.897412
70.774,9139.671389
71.868,9308.41871
73.275,10967.28195
74.34,8797.640716
75.32,12779.37964
69.12,10039.59564
70.33,10949.64959
70.93,12217.22686
71.1,14526.12465
71.93,16788.62948
73.49,18334.19751
74.74,19477.00928
76.32,21888.88903
77.56,23424.76683
78.83,26997.93657
80.37,30687.75473
81.235,34435.36744
66.8,6137.076492
67.48,8842.59803
69.54,10750.72111
70.14,12834.6024
70.63,16661.6256
72.17,19749.4223
73.18,21597.08362
74.94,23687.82607
76.04,27042.01868
77.51,29095.92066
78.98,32417.60769
79.829,36126.4927
50.939,9867.084765
53.832,11635.79945
56.923,12753.27514
59.923,14804.6727
63.3,18268.65839
65.593,19340.10196
69.052,19211.14731
70.75,18524.02406
72.601,19035.57917
73.925,20292.01679
74.795,23403.55927
75.635,29796.04834
37.484,684.2441716
39.348,661.6374577
41.216,686.3415538
43.453,721.1860862
45.252,630.2336265
46.923,659.8772322
50.009,676.9818656
52.819,751.9794035
56.018,837.8101643
59.412,972.7700352
62.013,1136.39043
64.062,1391.253792
68,8343.105127
69.24,9714.960623
70.25,10991.20676
70.94,13149.04119
71.44,16672.14356
72.8,19117.97448
73.93,20979.84589
75.35,22525.56308
76.46,25575.57069
77.53,27561.19663
78.32,30485.88375
79.441,33692.60508
38.223,1062.7522
40.358,959.6010805
42.618,949.4990641
44.885,1035.831411
47.014,1085.796879
49.19,1029.161251
50.904,1277.897616
52.337,1225.85601
53.919,1191.207681
54.777,1232.975292
54.406,1372.877931
56.728,1441.284873
40.414,2677.326347
41.89,2127.686326
43.428,2180.972546
45.032,2586.886053
46.714,2980.331339
50.023,3548.097832
53.859,3156.510452
57.251,2753.69149
59.957,2961.699694
62.05,3326.143191
63.883,3413.26269
65.554,3822.137084
53.82,973.5331948
58.45,1353.989176
61.93,1709.683679
64.79,2172.352423
67.45,2860.16975
69.86,3528.481305
70.69,4126.613157
71.14,4314.114757
72.178,2546.781445
73.244,4766.355904
74.09,6018.975239
74.852,7446.298803
47.622,851.2411407
49.618,918.2325349
51.52,983.6539764
53.298,1214.709294
56.024,2263.611114
59.319,3214.857818
61.484,4551.14215
63.622,6205.88385
62.745,7954.111645
52.556,8647.142313
46.634,11003.60508
50.728,12569.85177
50.917,2108.944355
53.285,2487.365989
55.665,3336.585802
57.632,3429.864357
59.504,4985.711467
61.489,6660.118654
63.336,7030.835878
65.205,7807.095818
67.057,6950.283021
69.388,7957.980824
71.006,8131.212843
72.39,9065.800825
59.6,2444.286648
66.61,3008.670727
69.51,4254.337839
70.42,5577.0028
70.9,6597.494398
70.81,7612.240438
71.08,8224.191647
71.34,8239.854824
71.19,6302.623438
70.32,5970.38876
72.14,7696.777725
73.005,10680.79282
31.975,543.2552413
34.906,617.1834648
37.814,722.5120206
40.697,794.8265597
43.591,854.7359763
46.137,743.3870368
48.122,807.1985855
49.557,912.0631417
50.26,931.7527731
50.324,946.2949618
50.65,1037.645221
52.295,1217.032994
39.031,339.2964587
40.533,379.5646281
42.045,355.2032273
43.548,412.9775136
44.057,464.0995039
45.91,556.1032651
47.471,559.603231
48.211,621.8188189
44.736,631.6998778
45.326,463.1151478
47.36,446.4035126
49.58,430.0706916
39.417,368.4692856
41.366,434.0383364
43.415,496.9136476
45.415,523.4323142
40.317,421.6240257
31.22,524.9721832
50.957,624.4754784
53.914,683.8955732
55.803,682.3031755
56.534,734.28517
56.752,896.2260153
59.723,1713.778686
38.523,1172.667655
40.428,1313.048099
42.643,1399.607441
44.799,1508.453148
47.049,1684.146528
49.355,1783.432873
52.961,2367.983282
54.985,2602.664206
54.314,1793.163278
52.199,1694.337469
49.856,1934.011449
50.43,2042.09524
68.75,11367.16112
69.96,12489.95006
71.3,13462.48555
72.13,16076.58803
